query,lat,lng,formatted
"Prince Edward Road, E9, London, UK, London, UK",51.54447920,-0.02590670,"Prince Edward Rd, London E9, UK"
"12, Jewell Street, Mile End. E1, London, UK, London, UK",51.48001760,-0.09561240,"Jewell St, London SE5, UK"
"12 Harford St, Stepney E1, London, UK, London, UK",51.52160820,-0.03943190,"12 Harford St, London E1 4SJ, UK"
"Hazelbank Road, Catford SE6, London, UK, London, UK",51.43691310,0.00128370,"Hazelbank Rd, London SE6, UK"
"Plough Way, SE16, London, UK, London, UK",51.49276860,-0.03872640,"Plough Way, London SE16, UK"
"28 Ringstead Road, Catford, SE6, London, UK, London, UK",51.44647220,-0.01674350,"28 Ringstead Rd, London SE6 2BP, UK"
"786 Old Kent Road, Camberwell, SE15, London, UK, London, UK",51.47980340,-0.05787950,"786 Old Kent Rd, London SE15 1NZ, UK"
"7, Devonshire Grove, SE15, London, UK, London, UK",51.48099180,-0.05935000,"Devonshire Grove, London SE15, UK"
"Bromley Road, Catford, SE6, London, UK, London, UK",51.43595530,-0.01814070,"Bromley Rd, London SE6, UK"
"42 Brown Hill Road, Catford, SE6, London, UK, London, UK",51.44552270,-0.01568760,"42 Brownhill Rd, London SE6 2EJ, UK"
"39 Loampit Vale, Lewisham SE13, London, UK, London, UK",51.46455440,-0.01402340,"39 Loampit Vale, London SE13 7RY, UK"
"19 Vivian Roan, Bethnal Green E2, London, UK, London, UK",51.52813400,-0.06165120,"London E2, UK"
"Milton Court Road, New Cross, Se14, London, UK, London, UK",51.48076200,-0.03649020,"Milton Ct Rd, London SE14, UK"
"39 Gilmore Road, Lewisham SE13, London, UK, London, UK",51.46039310,-0.00656570,"39B Gilmore Rd, London SE13 5AD, UK"
"3 Drivers Buildings, Mile End Road E1, London, UK, London, UK",51.52197770,-0.04562250,"Mile End Rd, London E1, UK"
"110, Skidmore Street, London, UK, London, UK",51.50635300,-0.08591770,"27 Tooley St, London SE1 2PR, UK"
"Royal Arsenal, Woolwich, SE18, London, UK, London, UK",51.49516180,0.07059710,"Woolwich (Royal Arsenal), Marlborough Rd, Royal Arsenal, London SE18 6TL, UK"
"Bolsoms Ltd.(Furnishing Co.) Lewisham High Street, SE13, London, UK, London, UK",51.45795000,-0.01312470,"Lewisham High St, London SE13, UK"
"Chiesmans Depository, Lewisham High Street, SE13, London, UK, London, UK",51.45795000,-0.01312470,"Lewisham High St, London SE13, UK"
"Newby Place, Poplar E14, London, UK, London, UK",51.51016350,-0.01215040,"Newby Pl, London E14, UK"
"Old Tram Yard, Lakedale Road, Plumstead, SE18, London, UK, London, UK",51.48743880,0.09122840,"Lakedale Road & Old Tramyard, London SE18 1PP, UK"
"Old Tram Yard, Lakedale Road, Plumstead, Se18, London, UK, London, UK",51.48743880,0.09122840,"Lakedale Road & Old Tramyard, London SE18 1PP, UK"
"Lakedale Road and plumstead High Street SE18, London, UK, London, UK",51.48765570,0.09131680,"Lakedale Rd & Plumstead High St, London SE18 1PP, UK"
"70 Croft Street Deptford, SE8, London, UK, London, UK",51.49125190,-0.04020960,"70 Croft St, London SE8, UK"
"41 Windmill Lane, Deptford, Se8, London, UK, London, UK",51.54591810,0.00398320,"41 Windmill Ln, London E15, UK"
"61 Basildon Road Abbey Wood, SE2, London, UK, London, UK",51.48639350,0.10710350,"61 Basildon Rd, London SE2 0ET, UK"
"35 Basildon Road, Abbey Wood, SE2, London, UK, London, UK",51.48585540,0.10692700,"35 Basildon Rd, London SE2 0ET, UK"
"Basildon Road, Abbey Wood, SE2, London, UK, London, UK",51.48673010,0.10742100,"Basildon Rd, London SE2, UK"
"Cordelia Street, Poplar E14, London, UK, London, UK",51.51372870,-0.01747240,"Cordelia St, London E14, UK"
"13 Cordelia Street, Poplar, E14, London, UK, London, UK",51.51381010,-0.01895240,"13 Cordelia St, London E14 6AS, UK"
"Poplar High Street, Poplar, E14, London, UK, London, UK",51.50888750,-0.01407850,"Poplar High St, London E14, UK"
"The Vicarage, Poplar, E14, London, UK, London, UK",51.51696730,-0.10635680,"The Vicarage, St Andrew St, London EC4A 3BQ, UK"
"Colin Street, Bromley-By-Bow E3, London, UK, London, UK",51.52782080,-0.01283730,"Bromley By Bow, London, UK"
"Empson St, Bromley-By-Bow E3, London, UK, London, UK",51.52216780,-0.01314260,"Empson St, London E3, UK"
"Marner Street School, Marner Street E3, London, UK, London, UK",51.52114850,-0.03234200,"Eric Street, Bow, London E3 4JG, UK"
"St. Leonards Wharf, Bromley E3, London, UK, London, UK",51.51710350,-0.00860430,"St Leonards Wharf, 49 Bromley Hall Rd, Aberfeldy Village, London E14 0LF, UK"
"242 Brunswick Rd, Poplar, E14, London, UK, London, UK",51.51230740,-0.00766770,"Brunswick Rd, London E14, UK"
"242, Brunswick Rd, Poplar, E14, London, UK, London, UK",51.51230740,-0.00766770,"Brunswick Rd, London E14, UK"
"240 Brunswick Rd, Poplar, E14, London, UK, London, UK",51.51230740,-0.00766770,"Brunswick Rd, London E14, UK"
"Empson Street Bromley E3, London, UK, London, UK",51.52216780,-0.01314260,"Empson St, London E3, UK"
"Colin Street, Bromley-By-Bow, E3, London, UK, London, UK",51.52782080,-0.01283730,"Bromley By Bow, London, UK"
